timestamps,open,high,low,close,volume,amount
2025-01-27,222.80290778981754,230.888727332658,222.76311661057002,228.61117553710938,94863400,21686833389.44702
2025-01-28,229.5957855991,238.88503723433337,229.55599442275542,236.96551513671875,75707600,17940090433.76465
2025-01-29,232.84803349366265,238.55685383878983,232.73863051084334,238.0595703125,45486100,10828401421.191406
2025-01-30,237.37331330002667,239.48179056573835,235.9212539220553,236.29917907714844,55658300,13152010598.82965
2025-01-31,245.8470107317681,245.8470107317681,232.1717149504871,234.71780395507812,100959800,23697062543.743896
2025-02-03,228.7404632470789,230.5704628324937,224.47376244068877,226.77120971679688,73063300,16568652926.901245
2025-02-04,226.0153521080233,231.86341095944582,225.4186058340825,231.5352020263672,45067300,10434666410.282898
2025-02-05,227.2883891710869,231.4058958330951,227.0298072213747,231.2069854736328,39620300,9160490126.560974
2025-02-06,230.03338922164468,232.5297620441898,229.17806101517482,231.95291137695312,29925300,6941260458.828735
2025-02-07,231.33627899238985,232.72866665415378,226.0252799376335,226.39328002929688,39707200,8989443248.779297
2025-02-10,228.57377553913867,229.58933825388894,226.21404995469493,226.66209411621094,33115600,7506051243.914795
2025-02-11,227.2097022258532,234.20919368357846,227.140013897382,231.6105194091797,53718400,12441746525.830078
2025-02-12,230.19670873650108,235.93172304376256,229.67896101319025,235.84210205078125,45243300,10670274975.714111
2025-02-13,235.88194100703416,241.28837041996871,234.54775953627293,240.4818878173828,53614100,12893219981.629944
2025-02-14,240.203075232316,244.48441805735465,239.9442089936196,243.53854370117188,40896200,9959800990.911865
2025-02-18,243.0905000064508,244.11602908498713,240.7905267294893,243.40911865234375,48822500,11883841695.404053
2025-02-19,243.5982928571997,244.94242536854557,242.10480216065562,243.807373046875,32204200,7851621403.076172
2025-02-20,243.87707690453925,245.70908851524857,243.2298884862767,244.76321411132812,32316900,7909988314.11438
2025-02-21,244.88269415360097,247.61080936192474,244.15586625078134,244.48443603515625,53197400,13005936337.536621
2025-02-24,243.86711335623195,247.7800669312537,243.3593319822528,246.0277099609375,51326400,12627716652.539062
2025-02-25,246.92381259977986,248.91513366913293,243.84722519384715,245.9679718017578,48013300,11809734020.509338
2025-02-26,243.26972892021308,243.91690216055417,238.0922974197643,239.31695556640625,44433600,10633713876.855469
2025-02-27,238.37109275336516,241.40786042901627,236.0312844149354,236.27024841308594,41153600,9723371295.092773
2025-02-28,235.9217631442628,241.03945773883657,229.20105446423008,240.79054260253906,56833400,13684945223.947144
2025-03-03,240.74073286620586,242.97101773746803,235.0853888180174,236.99705505371094,47184000,11182469045.654297
2025-03-04,236.6784633674393,239.02822274747484,233.6615980851158,234.9061737060547,53798100,12637505823.6557
2025-03-05,234.3983766092207,235.5234777567522,228.23523611666363,234.7169952392578,47227600,11085120364.361572
2025-03-06,233.42263965762712,236.82779659290307,232.14819548977783,234.30877685546875,45170400,10583821174.072266
2025-03-07,234.08974000390756,240.32256924437755,233.74125275300776,238.03256225585938,46273600,11014623572.802734
2025-03-10,234.5178647329352,235.13518456664028,223.24699590534985,226.4928436279297,72071200,16323611031.677246
2025-03-11,222.8387656202518,224.8599551431671,216.50636447278404,219.88165283203125,76137400,16741217354.333496
2025-03-12,219.18469713036333,220.78771110845915,213.9773970817033,216.0384063720703,62547500,13512662222.557068
2025-03-13,215.01287598245443,215.899013195213,207.51555384047248,208.77008056640625,61368300,12811864935.223389
2025-03-14,210.3332680009786,213.02154815111564,208.67051688888432,212.5635528564453,60107600,12776685009.674072
2025-03-17,212.3843267022667,214.28604179494317,209.05882446828872,213.0713348388672,48073400,10243063508.242798
2025-03-18,213.23063555765447,214.21632963340127,210.57222410469132,211.7670135498047,42432400,8985782625.750732
2025-03-19,213.2904064715071,217.81069873114322,212.82244479269733,214.3059844970703,54385400,11655116689.266968
2025-03-20,213.0613904363763,216.5462020975973,211.29906714235267,213.17091369628906,48862900,10416149038.850403
2025-03-21,210.6419412957371,217.8903488075446,210.36315756009637,217.3228302001953,94127800,20456119896.517944
2025-03-24,220.04097309502072,220.5188858867363,217.63147647971348,219.7721405029297,44299500,9735795938.209534
2025-03-25,219.81197343150768,223.12752472855482,219.1249652538438,222.77903747558594,34493600,7684451007.067871
2025-03-26,222.5400680439697,224.04352508950674,219.51326687455483,220.56866455078125,34466100,7602141649.273682
